wavelength,A,B
579,0.004729776,0.95798188
580,0.004739537,0.95810136
581,0.004752839,0.95822691
582,0.004769128,0.9583605
583,0.004787857,0.95850413
584,0.004808482,0.95865981
585,0.004830465,0.95882956
586,0.004853269,0.95901546
587,0.00487636,0.9592196
588,0.004899204,0.95944411
589,0.004921266,0.95969118
590,0.00494201,0.959963
591,0.004961026,0.96026115
592,0.004978412,0.9605844
593,0.004994392,0.96093089
594,0.005009189,0.96129877
595,0.00502302,0.96168627
596,0.005036102,0.96209163
597,0.005048652,0.96251314
598,0.005060882,0.96294913
599,0.005073008,0.96339794
600,0.005085242,0.96385794
601,0.005097798,0.96432754
602,0.00511089,0.96480514
603,0.005124735,0.96528919
604,0.005139548,0.96577813
605,0.005155548,0.96627041
606,0.005172958,0.9667645
607,0.005192001,0.96725886
608,0.005212903,0.96775195
609,0.005235897,0.96824225
610,0.005261218,0.9687282
611,0.005289105,0.96920826
612,0.005319803,0.96968086
613,0.005353564,0.97014443
614,0.005390644,0.97059738
615,0.005431305,0.97103808
616,0.00547582,0.97146489
617,0.005524466,0.97187614
618,0.00557753,0.97227014
619,0.005635307,0.97264515
620,0.005698102,0.9729994
621,0.005766231,0.97333106
622,0.005840018,0.97363829
623,0.0059198,0.97391918
624,0.006005927,0.97417175
625,0.00609876,0.974394
626,0.006198558,0.97458443
627,0.006305129,0.97474379
628,0.00641818,0.97487338
629,0.006537428,0.9749744
630,0.006662605,0.97504803
631,0.006793455,0.97509538
632,0.006929731,0.9751175
633,0.007071199,0.97511539
634,0.007217634,0.97509002
635,0.007368823,0.9750423
636,0.007524559,0.97497309
637,0.007684648,0.97488321
638,0.007848903,0.97477346
639,0.008017144,0.97464456
640,0.008189201,0.97449723
641,0.00836491,0.97433214
642,0.008544117,0.9741499
643,0.008726672,0.97395113
644,0.008912433,0.97373638
645,0.009101264,0.97350618
646,0.009293036,0.97326105
647,0.009487625,0.97300144
648,0.009684914,0.97272781
649,0.009884789,0.97244056
650,0.010087143,0.97214008
651,0.010291874,0.97182674
652,0.010498884,0.97150086
653,0.01070808,0.97116276
654,0.010919373,0.97081272
655,0.011132678,0.97045101
656,0.011347915,0.97007786
657,0.011565008,0.96969349
658,0.011783883,0.96929808
659,0.012004471,0.96889182
660,0.012226706,0.96847484
661,0.012450525,0.96804728
662,0.012675869,0.96760924
663,0.012902681,0.96716081
664,0.013130909,0.96670205
665,0.0133605,0.966233
666,0.013590869,0.96575737
667,0.013819272,0.96529357
668,0.014042427,0.9648637
669,0.014257036,0.96448995
670,0.014459787,0.96419461
671,0.014647345,0.96400012
672,0.014816342,0.96392914
673,0.014963375,0.96400456
674,0.015084995,0.96424958
675,0.015177705,0.96468771
676,0.015237947,0.96534289
677,0.015262101,0.96623946
678,0.015246471,0.96740226
679,0.015187286,0.96885665
680,0.015080684,0.97062858
681,0.014922709,0.97274464
682,0.014709305,0.97523211
683,0.0144363,0.978119
684,0.014100562,0.98142637
685,0.013703456,0.98514508
686,0.013247377,0.98925904
687,0.012734603,0.99375295
688,0.012167301,0.9986123
689,0.011547524,1.0038233
690,0.010877225,1.0093728
691,0.010158253,1.0152484
692,0.00939236,1.0214383
693,0.008581204,1.0279314
694,0.007726354,1.0347173
695,0.006829288,1.0417858
696,0.005891403,1.0491277
697,0.004914013,1.0567341
698,0.003898353,1.0645967
699,0.00284558,1.0727078
700,0.00175678,1.08106
